"","height","weight","label"
"1",178,61,"normal"
"2",138,35,"thin"
"3",154,74,"fat"
"4",188,46,"thin"
"5",170,35,"thin"
"6",183,54,"thin"
"7",175,74,"normal"
"8",167,38,"thin"
"9",139,67,"fat"
"10",188,60,"thin"
"11",164,36,"thin"
"12",126,65,"fat"
"13",145,78,"fat"
"14",122,68,"fat"
"15",197,39,"thin"
"16",166,41,"thin"
"17",185,41,"thin"
"18",183,61,"thin"
"19",199,64,"thin"
"20",144,79,"fat"
"21",122,78,"fat"
"22",132,60,"fat"
"23",176,76,"normal"
"24",189,56,"thin"
"25",147,50,"normal"
"26",126,74,"fat"
"27",128,40,"normal"
"28",178,67,"normal"
"29",136,49,"fat"
"30",174,47,"thin"
"31",184,41,"thin"
"32",180,35,"thin"
"33",165,46,"thin"
"34",187,78,"normal"
"35",133,71,"fat"
"36",138,76,"fat"
"37",167,70,"fat"
"38",186,72,"normal"
"39",148,78,"fat"
"40",139,38,"normal"
"41",160,41,"thin"
"42",146,43,"normal"
"43",166,49,"thin"
"44",125,60,"fat"
"45",190,59,"thin"
"46",135,68,"fat"
"47",149,55,"normal"
"48",145,53,"fat"
"49",141,80,"fat"
"50",160,74,"fat"
"51",127,79,"fat"
"52",162,71,"fat"
"53",138,60,"fat"
"54",184,45,"thin"
"55",189,37,"thin"
"56",133,39,"normal"
"57",194,63,"thin"
"58",200,72,"thin"
"59",181,64,"normal"
"60",140,42,"normal"
"61",162,41,"thin"
"62",156,74,"fat"
"63",127,55,"fat"
"64",144,57,"fat"
"65",178,78,"normal"
"66",138,49,"fat"
"67",137,58,"fat"
"68",147,65,"fat"
"69",192,71,"normal"
"70",147,67,"fat"
"71",167,61,"normal"
"72",197,40,"thin"
"73",178,71,"normal"
"74",166,45,"thin"
"75",192,41,"thin"
"76",156,66,"fat"
"77",196,77,"normal"
"78",198,74,"normal"
"79",163,46,"thin"
"80",196,35,"thin"
"81",126,41,"fat"
"82",176,38,"thin"
"83",175,36,"thin"
"84",144,74,"fat"
"85",185,74,"normal"
"86",145,46,"normal"
"87",180,49,"thin"
"88",193,37,"thin"
"89",142,44,"normal"
"90",147,63,"fat"
"91",129,79,"fat"
"92",190,42,"thin"
"93",180,80,"normal"
"94",125,69,"fat"
"95",174,35,"thin"
"96",185,47,"thin"
"97",174,56,"thin"
"98",187,49,"thin"
"99",134,64,"fat"
"100",178,77,"normal"
